Date,Open,High,Low,Adj Close,Volume
12/12/1980,0.128348,0.128906,0.128348,0.099319,469033600
12/15/1980,0.12221,0.12221,0.121652,0.094137,175884800
12/16/1980,0.113281,0.113281,0.112723,0.087228,105728000
12/17/1980,0.115513,0.116071,0.115513,0.089387,86441600
12/18/1980,0.118862,0.11942,0.118862,0.091978,73449600
12/19/1980,0.126116,0.126674,0.126116,0.097591,48630400
12/22/1980,0.132254,0.132813,0.132254,0.102341,37363200
12/23/1980,0.137835,0.138393,0.137835,0.10666,46950400
12/24/1980,0.145089,0.145647,0.145089,0.112273,48003200
12/26/1980,0.158482,0.15904,0.158482,0.122637,55574400
12/29/1980,0.160714,0.161272,0.160714,0.124364,93161600
12/30/1980,0.157366,0.157366,0.156808,0.121342,68880000
12/31/1980,0.152902,0.152902,0.152344,0.117887,35750400
1/2/1981,0.154018,0.155134,0.154018,0.119183,21660800
1/5/1981,0.151228,0.151228,0.15067,0.116592,35728000
1/6/1981,0.144531,0.144531,0.143973,0.11141,45158400
1/7/1981,0.138393,0.138393,0.137835,0.10666,55686400
1/8/1981,0.135603,0.135603,0.135045,0.104501,39827200
1/9/1981,0.142299,0.142857,0.142299,0.110114,21504000
1/12/1981,0.142299,0.142299,0.141183,0.109251,23699200
1/13/1981,0.136719,0.136719,0.136161,0.105365,23049600
1/14/1981,0.136719,0.137277,0.136719,0.105796,14291200
1/15/1981,0.139509,0.140625,0.139509,0.107955,14067200
1/16/1981,0.138951,0.138951,0.138393,0.107092,13395200
1/19/1981,0.146763,0.147321,0.146763,0.113569,41574400
1/20/1981,0.142857,0.142857,0.142299,0.110114,30083200
1/21/1981,0.145089,0.146205,0.145089,0.112273,15904000
1/22/1981,0.146763,0.147879,0.146763,0.113569,35548800
1/23/1981,0.146763,0.147321,0.146205,0.113137,11222400
1/26/1981,0.144531,0.144531,0.143973,0.11141,24640000
1/27/1981,0.143973,0.143973,0.142857,0.110546,23699200
1/28/1981,0.138951,0.138951,0.138393,0.107092,28156800
1/29/1981,0.133929,0.133929,0.133371,0.103206,43904000
1/30/1981,0.127232,0.127232,0.126116,0.097591,46188800
2/2/1981,0.11942,0.11942,0.118862,0.091978,23766400
2/3/1981,0.123326,0.123884,0.123326,0.095433,19152000
2/4/1981,0.12779,0.128348,0.12779,0.098887,27865600
2/5/1981,0.12779,0.128906,0.12779,0.098887,7929600
2/6/1981,0.128348,0.128906,0.128348,0.099319,13865600
2/9/1981,0.122768,0.122768,0.121652,0.094137,16755200
2/10/1981,0.121652,0.12221,0.121652,0.094137,18345600
2/11/1981,0.118304,0.118304,0.117746,0.091115,13843200
2/12/1981,0.117188,0.117188,0.116629,0.09025,14560000
2/13/1981,0.114955,0.114955,0.113839,0.088091,11155200
2/17/1981,0.116629,0.117188,0.116629,0.09025,12275200
2/18/1981,0.121652,0.122768,0.121652,0.094137,19241600
2/19/1981,0.114955,0.114955,0.114397,0.088523,22310400
2/20/1981,0.108817,0.108817,0.108259,0.083773,24371200
2/23/1981,0.109933,0.110491,0.109933,0.085069,14112000
2/24/1981,0.107143,0.107143,0.106027,0.082046,16979200
2/25/1981,0.112723,0.113281,0.112723,0.087228,19488000
2/26/1981,0.114397,0.114955,0.114397,0.088523,10841600
2/27/1981,0.118304,0.11942,0.118304,0.091546,14761600
3/2/1981,0.118862,0.11942,0.118862,0.091978,11760000
3/3/1981,0.117746,0.117746,0.117188,0.090683,16172800
3/4/1981,0.116629,0.116629,0.116071,0.089818,13708800
3/5/1981,0.116071,0.116071,0.115513,0.089387,5376000
3/6/1981,0.115513,0.115513,0.114397,0.088523,11603200
3/9/1981,0.106027,0.106027,0.105469,0.081614,15321600
3/10/1981,0.101004,0.101004,0.100446,0.077727,28380800
3/11/1981,0.097656,0.097656,0.09654,0.074705,29859200
3/12/1981,0.100446,0.101004,0.100446,0.077727,59248000
3/13/1981,0.099888,0.099888,0.09933,0.076864,231302400
3/16/1981,0.103237,0.104353,0.103237,0.079887,37228800
3/17/1981,0.108259,0.109375,0.108259,0.083773,43747200
3/18/1981,0.114955,0.116071,0.114955,0.088955,36937600
3/19/1981,0.114397,0.114397,0.113839,0.088091,37811200
3/20/1981,0.114955,0.116071,0.114955,0.088955,14604800
3/23/1981,0.11942,0.120536,0.11942,0.09241,22019200
3/24/1981,0.11942,0.11942,0.118862,0.091978,28156800
3/25/1981,0.117746,0.117746,0.116629,0.09025,7056000
3/26/1981,0.114955,0.114955,0.114397,0.088523,12275200
3/27/1981,0.111049,0.111049,0.110491,0.0855,12252800
3/30/1981,0.110491,0.111607,0.110491,0.0855,9900800
3/31/1981,0.110491,0.110491,0.109375,0.084637,15993600
4/1/1981,0.108817,0.108817,0.108259,0.083773,34070400
4/2/1981,0.117746,0.118304,0.117746,0.091115,31404800
4/3/1981,0.118304,0.118862,0.118304,0.091546,16486400
4/6/1981,0.116629,0.116629,0.116071,0.089818,22803200
4/7/1981,0.115513,0.115513,0.114955,0.088955,10684800
4/8/1981,0.120536,0.121652,0.120536,0.093274,21952000
4/9/1981,0.122768,0.123326,0.122768,0.095001,12499200
4/10/1981,0.124442,0.125,0.124442,0.096296,33465600
4/13/1981,0.124442,0.125,0.124442,0.096296,16060800
4/14/1981,0.124442,0.125,0.124442,0.096296,6652800
4/15/1981,0.118862,0.118862,0.118304,0.091546,34048000
4/16/1981,0.112165,0.112165,0.111607,0.086364,23878400
4/20/1981,0.114955,0.115513,0.114955,0.088955,35347200
4/21/1981,0.122768,0.123326,0.122768,0.095001,28537600
4/22/1981,0.127232,0.12779,0.127232,0.098455,18995200
4/23/1981,0.13058,0.131138,0.13058,0.101046,58016000
4/24/1981,0.13058,0.13058,0.129464,0.100182,35056000
4/27/1981,0.128906,0.128906,0.128348,0.099319,38528000
4/28/1981,0.126674,0.126674,0.126116,0.097591,32188800
4/29/1981,0.125,0.125,0.124442,0.096296,13641600
4/30/1981,0.126674,0.12779,0.126674,0.098023,12611200
5/1/1981,0.126674,0.12779,0.126674,0.098023,16553600
5/4/1981,0.126674,0.126674,0.126116,0.097591,14448000
5/5/1981,0.126116,0.126116,0.125558,0.09716,17539200
5/6/1981,0.122768,0.122768,0.12221,0.094569,18950400
5/7/1981,0.123884,0.124442,0.123884,0.095864,9363200
5/8/1981,0.125,0.125558,0.125,0.096728,7907200
5/11/1981,0.122768,0.122768,0.12221,0.094569,11939200
5/12/1981,0.12221,0.123884,0.12221,0.094569,4256000
5/13/1981,0.12221,0.123326,0.121652,0.094137,4905600
5/14/1981,0.121094,0.121094,0.119978,0.092842,4928000
5/15/1981,0.122768,0.124442,0.122768,0.095001,4905600
5/18/1981,0.125,0.126116,0.125,0.096728,4166400
5/19/1981,0.123326,0.123326,0.122768,0.095001,25424000
5/20/1981,0.126674,0.12779,0.126674,0.098023,13283200
5/21/1981,0.133929,0.134487,0.133929,0.103637,32211200
5/22/1981,0.140067,0.141183,0.140067,0.108387,31427200
5/26/1981,0.140067,0.140067,0.139509,0.107955,85344000
5/27/1981,0.147321,0.147879,0.147321,0.114,149497600
5/28/1981,0.147321,0.147879,0.147321,0.114,73987200
5/29/1981,0.147879,0.148438,0.147879,0.114432,59382400
6/1/1981,0.147879,0.148438,0.147879,0.114432,51251200
6/2/1981,0.141183,0.141183,0.140625,0.108819,40432000
6/3/1981,0.140625,0.141741,0.140625,0.108819,39446400
6/4/1981,0.143415,0.143973,0.143415,0.110978,56067200
6/5/1981,0.141741,0.141741,0.141183,0.109251,57680000
6/8/1981,0.136719,0.136719,0.136161,0.105365,93497600
6/9/1981,0.138951,0.139509,0.138951,0.107524,119593600
6/10/1981,0.140625,0.142299,0.140625,0.108819,25222400
6/11/1981,0.146763,0.147321,0.146763,0.113569,38976000
6/12/1981,0.145647,0.145647,0.145089,0.112273,25804800
6/15/1981,0.145089,0.145089,0.144531,0.111841,143763200
6/16/1981,0.142299,0.142299,0.141741,0.109682,37251200
6/17/1981,0.140067,0.140067,0.139509,0.107955,27574400
6/18/1981,0.139509,0.140067,0.138951,0.107524,23049600
6/19/1981,0.135603,0.135603,0.135045,0.104501,27507200
6/22/1981,0.13058,0.13058,0.130022,0.100614,10841600
6/23/1981,0.132254,0.133371,0.132254,0.102341,15030400
6/24/1981,0.130022,0.130022,0.128906,0.09975,23027200
6/25/1981,0.131696,0.132254,0.131696,0.101909,24259200
6/26/1981,0.131138,0.131138,0.130022,0.100614,23788800
6/29/1981,0.126674,0.126674,0.125558,0.09716,10595200
6/30/1981,0.116629,0.116629,0.116071,0.089818,35907200
7/1/1981,0.115513,0.115513,0.114955,0.088955,170464000
7/2/1981,0.114955,0.115513,0.114955,0.088955,30284800
7/6/1981,0.112165,0.112165,0.111049,0.085932,16531200
7/7/1981,0.112165,0.113281,0.112165,0.086796,15836800
7/8/1981,0.116629,0.117188,0.116629,0.09025,16620800
7/9/1981,0.108259,0.108259,0.107701,0.083342,32883200
7/10/1981,0.099888,0.099888,0.09933,0.076864,55171200
7/13/1981,0.101563,0.102121,0.101563,0.078592,45740800
7/14/1981,0.106027,0.107143,0.106027,0.082046,19779200
7/15/1981,0.108817,0.109375,0.108817,0.084205,10953600
7/16/1981,0.111607,0.112723,0.111607,0.086364,15232000
7/17/1981,0.115513,0.116071,0.115513,0.089387,19824000
7/20/1981,0.108259,0.108259,0.107701,0.083342,23654400
7/21/1981,0.107701,0.107701,0.107143,0.08291,31942400
7/22/1981,0.102121,0.102121,0.101004,0.078159,22668800
7/23/1981,0.103795,0.104353,0.103795,0.080319,34451200
7/24/1981,0.107143,0.107701,0.107143,0.08291,28851200
7/27/1981,0.111607,0.112165,0.111607,0.086364,17337600
7/28/1981,0.108259,0.108259,0.107701,0.083342,22848000
7/29/1981,0.106585,0.106585,0.106027,0.082046,15500800
7/30/1981,0.109933,0.111049,0.109933,0.085069,9900800
7/31/1981,0.111607,0.112165,0.111607,0.086364,10953600
8/3/1981,0.111607,0.111607,0.110491,0.0855,12432000
8/4/1981,0.112165,0.112723,0.112165,0.086796,31673600
8/5/1981,0.115513,0.116071,0.115513,0.089387,17494400
8/6/1981,0.113281,0.113281,0.112723,0.087228,10528000
8/7/1981,0.112723,0.113281,0.112723,0.087228,9206400
8/10/1981,0.112723,0.112723,0.112723,0.087228,0
8/11/1981,0.110491,0.110491,0.109375,0.084637,71456000
8/12/1981,0.107701,0.107701,0.107143,0.08291,26275200
8/13/1981,0.104353,0.104353,0.103795,0.080319,27484800
8/14/1981,0.103237,0.103237,0.102121,0.079024,24192000
8/17/1981,0.099888,0.099888,0.098772,0.076432,18905600
8/18/1981,0.097656,0.097656,0.09654,0.074705,17001600
8/19/1981,0.09654,0.09654,0.095424,0.073841,20675200
8/20/1981,0.09654,0.097098,0.09654,0.074705,17113600
8/21/1981,0.09096,0.09096,0.089844,0.069523,41910400
8/24/1981,0.084821,0.084821,0.084263,0.065205,23072000
8/25/1981,0.086496,0.087054,0.086496,0.066933,40700800
8/26/1981,0.085379,0.085379,0.084821,0.065636,33600000
8/27/1981,0.085379,0.085938,0.085379,0.066068,25916800
8/28/1981,0.089844,0.090402,0.089844,0.069523,38035200
8/31/1981,0.089844,0.090402,0.089844,0.069523,40947200
9/1/1981,0.095424,0.095982,0.095424,0.073841,37027200
9/2/1981,0.097098,0.097656,0.097098,0.075137,19376000
9/3/1981,0.093192,0.093192,0.092076,0.071251,37475200
9/4/1981,0.091518,0.091518,0.09096,0.070387,15254400
9/8/1981,0.088728,0.088728,0.08817,0.068228,25446400
9/9/1981,0.08817,0.088728,0.08817,0.068228,30531200
9/10/1981,0.088728,0.089286,0.088728,0.06866,34809600
9/11/1981,0.08817,0.08817,0.087612,0.067796,17539200
9/14/1981,0.085379,0.085379,0.084821,0.065636,27686400
9/15/1981,0.083147,0.083147,0.082589,0.063909,19510400
9/16/1981,0.081473,0.081473,0.080915,0.062614,19353600
9/17/1981,0.079241,0.079241,0.078683,0.060887,19376000
9/18/1981,0.079241,0.079799,0.079241,0.061319,26320000
9/21/1981,0.079799,0.080357,0.079799,0.06175,49033600
