,Date,Open,High,Low,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,O-PH,O-PL,O-PO,O-PC,H-PO,H-PH,H-PL,H-PC,L-PO,L-PH,L-PL,L-PC,C-PO,C-PH,C-PL,C-PC
0,2/5/2024,188.149994,189.25,185.839996,187.679993,69668800,2.02,1.93,0.09,4.6632,-9.38999899999999,-5.979995,-8.28999299999998,-7.81999199999999,-0.819991999999985,-1.91999799999999,1.49000599999999,-0.349990999999989,-8.89999399999999,-10,-6.58999600000001,-8.429993,-2.29998799999999,-3.39999399999999,0.0100099999999941,-1.82998699999999
1,2/2/2024,179.860001,187.330002,179.25,185.850006,102518000,2.02,1.93,0.09,4.6632,-3.33999700000001,4.740005,4.13000399999999,-1.86000100000001,7.08999599999999,-0.380005000000011,7.699997,1.09999099999999,3.96000599999999,-3.509995,4.570007,-2.029999,7,-0.470000999999996,7.61000100000001,1.009995
2,2/1/2024,183.990005,186.949997,183.820007,186.860001,64885400,2.02,1.93,0.09,4.6632,0.0899960000000135,3.21998600000001,3.04998800000001,0.179991999999999,3.11000100000001,0.150009000000011,3.279999,0.240004999999996,0.360001000000011,-2.59999099999999,0.529999000000004,-2.509995,0.409988999999996,-2.550003,0.579986999999989,-2.46000700000002
3,1/31/2024,187.039993,187.100006,184.350006,184.399994,55467800,1.46,1.39,0.07,5.036,3.83999599999999,6.58999599999999,3.90000899999998,6.540008,4.76000999999999,4.699997,7.449997,7.40000900000001,0.430007999999987,0.369994999999989,3.11999499999999,3.070007,1,0.939987000000002,3.689987,3.63999900000002
4,1/30/2024,190.940002,191.800003,187.470001,188.039993,55859400,1.46,1.39,0.07,5.036,0.209992,4.53999400000001,1.06999300000001,3.97000199999999,1.259995,0.399993999999992,4.729996,4.16000399999999,-1.35999999999999,-2.220001,2.11000100000001,1.540009,0.789994000000007,-0.0700070000000039,4.259995,3.69000299999999
5,1/29/2024,192.009995,192.199997,189.580002,191.729996,47145600,1.46,1.39,0.07,5.036,2.070007,4.69000199999999,2.260009,2.540008,2.75,2.55999800000001,5.179993,3.029999,-0.0699930000000109,-0.259995000000004,2.35999999999999,0.210005999999993,0.410002999999989,0.220000999999996,2.83999599999999,0.690001999999993
6,1/26/2024,194.270004,194.759995,191.940002,192.419998,44594000,1.46,1.39,0.07,5.036,0.460005999999993,3.279999,0.949996999999996,2.800003,2,1.510009,4.33000200000001,3.85000600000001,-1.16000299999999,-1.64999399999999,1.16999900000002,0.690003000000019,-0.100006000000008,-0.589997000000011,2.229996,1.75
7,1/25/2024,195.220001,196.270004,193.110001,194.169998,54822100,1.46,1.39,0.07,5.036,-0.850006000000008,2.30999699999998,0.199996999999996,1.25,1.16000400000002,0.110001000000011,3.270004,2.21000700000002,-0.880004999999983,-1.93000799999999,1.229995,0.169998000000021,-0.720000999999996,-1.770004,1.38999899999999,0.330002000000007
8,1/24/2024,195.419998,196.380005,194.339996,194.5,53631300,1.46,1.39,0.07,5.036,-1.36000100000001,0.680007999999987,-0.399993999999992,0.520004,0.330002000000007,-0.630005000000011,1.41000399999999,1.25,-1.58999599999999,-2.550003,-0.509994000000006,-0.669997999999993,-0.240004999999996,-1.20001200000002,0.839996999999983,0.679992999999996
9,1/23/2024,195.020004,195.75,193.830002,195.179993,42355600,1.46,1.39,0.07,5.036,-3.449997,-1.529999,-2.720001,-2.87998999999999,0.309998000000007,-0.419997999999993,1.5,0.150009000000011,-2.760009,-3.490005,-1.570007,-2.91999799999999,-1.13000500000001,-1.86000100000001,0.0599969999999814,-1.28999400000001
10,1/22/2024,192.300003,195.330002,192.259995,193.889999,60133900,1.46,1.39,0.07,5.036,-6,-2.929993,-2.970001,-4.55999699999998,-0.350006000000008,-3.38000500000001,-0.309998000000007,-1.94000199999999,-3.479996,-6.509995,-3.439988,-5.06999199999999,-0.740004999999997,-3.770004,-0.699996999999996,-2.33000099999998
11,1/19/2024,189.330002,191.949997,188.820007,191.559998,68741000,1.46,1.39,0.07,5.036,-5.86000099999998,-2.73001099999999,-3.24000599999999,-5.47000199999999,-0.190003000000019,-2.80999800000001,0.319991999999985,-2.41999900000002,-3.5,-6.11999499999999,-2.990005,-5.729996,-0.699996999999996,-3.31999199999999,-0.190001999999993,-2.929993
12,1/18/2024,186.089996,189.139999,185.830002,188.630005,78005800,1.46,1.39,0.07,5.036,-7.86999499999999,-4.55999800000001,-4.81999200000001,-7.36000100000001,-3.16000300000002,-6.21000599999999,-2.90000900000001,-5.70001200000002,-5.78999300000001,-8.83999599999999,-5.529999,-8.33000200000001,-3.41000300000002,-6.46000599999999,-3.15000900000001,-5.95001200000002
13,1/17/2024,181.270004,182.929993,180.300003,182.679993,47317400,1.46,1.39,0.07,5.036,-0.76998900000001,1.86000099999998,0.889999999999986,-0.51998900000001,2.989991,1.33000200000001,3.959992,1.58000200000001,-0.340011000000004,-2,0.629989999999992,-1.75,2.36000100000001,0.700012000000015,3.33000200000001,0.950012000000015
14,1/16/2024,182.160004,184.259995,180.929993,183.630005,65603000,1.46,1.39,0.07,5.036,1.800003,5.13000500000001,3.89999400000002,2.429993,4.58000100000001,2.48000999999999,5.810012,3.10999999999999,3.02999800000001,0.930006999999989,4.260009,1.55999699999998,3.75999400000001,1.66000299999999,4.990005,2.28999299999998
15,1/12/2024,186.059998,186.740005,185.190002,185.919998,40444700,1.46,1.39,0.07,5.036,-0.200011999999987,1.34999100000002,0.479995000000002,0.619995000000017,0.990004999999997,0.309998000000007,1.86000100000001,1.13000500000001,-2.44000300000002,-3.12001000000001,-1.570007,-2.300003,-0.470001999999994,-1.15000899999998,0.399994000000021,-0.330001999999979
16,1/11/2024,186.539993,187.050003,183.619995,185.589996,49128400,1.46,1.39,0.07,5.036,-2.699997,0.730011000000019,-2.189987,-1.23999000000001,-0.139999000000017,-0.650009000000011,2.779999,0.809997999999979,-2.61999500000002,-3.13000500000001,0.300003000000004,-1.66999800000002,-0.349991000000017,-0.860001000000011,2.570007,0.600005999999979
17,1/10/2024,184.350006,186.399994,183.919998,186.190002,46792900,1.46,1.39,0.07,5.036,-2.479996,0,-0.430008000000015,-2.270004,0.799987999999985,-1.25,1.229996,-1.040008,-1.62001000000001,-3.66999799999999,-1.19000199999999,-3.46000599999999,0.789992999999981,-1.259995,1.220001,-1.050003
18,1/9/2024,183.919998,185.149994,182.729996,185.139999,42841800,1.46,1.39,0.07,5.036,-3.05999799999998,-0.639999999999986,-1.83000199999998,-3.05000299999998,1.68000800000002,0.450012000000015,2.87001000000001,0.460007000000019,-2.41999799999999,-3.64999399999999,-1.229996,-3.63999899999999,1.64000000000001,0.410004000000015,2.83000200000001,0.419999000000018
19,1/8/2024,182.089996,185.600006,181.5,185.559998,59144500,1.46,1.39,0.07,5.036,-3.61000100000001,0.490004999999996,-0.099991000000017,-3.56999300000001,0.66999899999999,-2.840011,1.259995,-2.800003,-1.91999800000002,-5.43000800000002,-1.33000200000001,-5.39000000000002,-0.910003000000017,-4.42001300000001,-0.320007000000004,-4.38000500000001
20,1/5/2024,181.990005,182.759995,180.169998,181.179993,62303300,1.46,1.39,0.07,5.036,-0.610001000000011,1.979996,0.159988999999996,0.970000999999996,1.09999100000002,0.33000100000001,2.91999800000002,1.91000300000002,-1.10999999999999,-1.87998999999999,0.710007000000019,-0.299987999999985,-0.08000100000001,-0.849991000000017,1.74000599999999,0.73001099999999
21,1/4/2024,182.149994,183.089996,180.880005,181.910004,71983600,1.46,1.39,0.07,5.036,1.13000499999998,3.33999599999999,2.070007,2.30999700000001,3.73001100000002,2.790009,5,3.97000100000002,1.279999,0.339996999999983,2.54998799999999,1.51998900000001,2.10000600000001,1.16000399999999,3.36999499999999,2.33999600000001
22,1/3/2024,184.220001,185.880005,183.429993,184.25,58414500,1.46,1.39,0.07,5.036,1.26998899999998,3.720001,2.929993,2.89999399999999,4.220001,2.55999699999998,5.010009,4.19000199999999,-0.330002000000007,-1.99000600000002,0.460005999999993,-0.360001000000011,1.41999799999999,-0.240006000000022,2.21000599999999,1.38999899999999
23,1/2/2024,187.149994,188.440002,183.889999,185.639999,82488700,1.46,1.39,0.07,5.036,5.459992,10.009995,6.75,8.259995,7.25,5.959992,10.509995,8.759995,4.58000200000001,3.28999400000001,7.83999700000001,6.08999700000001,5.38000500000001,4.08999700000001,8.64000000000002,6.89000000000002
24,12/29/2023,193.899994,194.399994,191.729996,192.529999,42628800,1.46,1.39,0.07,5.036,-0.259995000000004,2.41000299999999,0.240004999999996,1.60999999999999,0.760009999999994,0.260009999999994,2.93000799999999,2.13000499999998,-0.729996,-1.229996,1.44000199999999,0.639998999999989,-0.319991999999985,-0.819991999999985,1.85000600000001,1.050003
25,12/28/2023,194.139999,194.660004,193.169998,193.580002,34049900,1.46,1.39,0.07,5.036,-2.16999899999999,-0.679992999999996,-1.64999399999999,-1.08999700000001,-0.639998999999989,-1.16000399999999,0.330002000000007,-0.0800020000000075,-3.05000299999998,-3.57000799999997,-2.08000199999998,-2.49000599999999,-0.990004999999997,-1.51000999999999,-0.0200040000000001,-0.430008000000015
26,12/27/2023,192.490005,193.5,191.089996,193.149994,48087700,1.46,1.39,0.07,5.036,0.110001000000011,2.520005,1.11999600000001,0.460007000000019,1.39999399999999,0.389998999999989,2.80000299999998,0.740004999999997,0.339997000000011,-0.669997999999993,1.74000599999999,-0.319991999999985,0.559998000000007,-0.449996999999996,1.96000699999999,-0.0999909999999886
