Date,Open,High,Low,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,,,,,,
12/22/2023,195.179993,195.410004,192.970001,193.600006,37122800,1.46,1.39,0.07,5.036,,,,,,
12/21/2023,196.100006,197.080002,193.5,194.679993,46482500,1.46,1.39,0.07,5.036,,,,,,
12/20/2023,196.899994,197.679993,194.830002,194.830002,52242800,1.46,1.39,0.07,5.036,,,,,,
12/19/2023,196.160004,196.949997,195.889999,196.940002,40714100,1.46,1.39,0.07,5.036,,,,,,
12/18/2023,196.089996,196.630005,194.389999,195.889999,55751900,1.46,1.39,0.07,5.036,,,,,,
12/15/2023,197.529999,198.399994,197,197.570007,128256700,1.46,1.39,0.07,5.036,,,,,,
12/14/2023,198.020004,199.619995,196.160004,198.110001,66831600,1.46,1.39,0.07,5.036,,,,,,
12/13/2023,195.089996,198,194.850006,197.960007,70404200,1.46,1.39,0.07,5.036,,,,,,
12/12/2023,193.080002,194.720001,191.720001,194.710007,52696900,1.46,1.39,0.07,5.036,,,,,,
12/11/2023,193.110001,193.490005,191.419998,193.179993,60943700,1.46,1.39,0.07,5.036,,,,,,
12/8/2023,194.199997,195.990005,193.669998,195.710007,53377300,1.46,1.39,0.07,5.036,,,,,,
12/7/2023,193.630005,195,193.589996,194.270004,47477700,1.46,1.39,0.07,5.036,,,,,,
12/6/2023,194.449997,194.759995,192.110001,192.320007,41089700,1.46,1.39,0.07,5.036,,,,,,
12/5/2023,190.210007,194.399994,190.179993,193.419998,66628400,1.46,1.39,0.07,5.036,,,,,,
12/4/2023,189.979996,190.050003,187.449997,189.429993,43389500,1.46,1.39,0.07,5.036,,,,,,
12/1/2023,190.330002,191.559998,189.229996,191.240005,45679300,1.46,1.39,0.07,5.036,,,,,,
11/30/2023,189.839996,190.320007,188.190002,189.949997,48794400,1.46,1.39,0.07,5.036,,,,,,
11/29/2023,190.899994,192.089996,188.970001,189.369995,43014200,1.46,1.39,0.07,5.036,,,,,,
11/28/2023,189.779999,191.080002,189.399994,190.399994,38415400,1.46,1.39,0.07,5.036,,,,,,
11/27/2023,189.919998,190.669998,188.899994,189.789993,40552600,1.46,1.39,0.07,5.036,,,,,,
11/24/2023,190.869995,190.899994,189.25,189.970001,24048300,1.46,1.39,0.07,5.036,,,,,,
11/22/2023,191.490005,192.929993,190.830002,191.309998,39617700,1.46,1.39,0.07,5.036,,,,,,
11/21/2023,191.410004,191.520004,189.740005,190.639999,38134500,1.46,1.39,0.07,5.036,,,,,,
